:ID,PKG_NAME,PAGE_RANK,:LABEL
conan0,7zip,1.8057751528806132,conan
conan1,aaf,1.8057751528806132,conan
conan2,aaplus,1.8057751528806132,conan
conan3,abseil,2.116446578444107,conan
conan4,absent,1.8057751528806132,conan
conan5,acado,1.8057751528806132,conan
conan6,access_private,1.8057751528806132,conan
conan7,acl,1.8057751528806132,conan
conan8,ade,1.8883212715341016,conan
conan9,aeron,1.8057751528806132,conan
conan10,ags,1.8057751528806132,conan
conan11,alac,1.8057751528806132,conan
conan12,alembic,1.8057751528806132,conan
conan13,amgcl,1.8057751528806132,conan
conan14,amqp-cpp,1.8057751528806132,conan
conan15,andreasbuhr-cppcoro,1.8057751528806132,conan
conan16,android-ndk,1.8057751528806132,conan
conan17,angelscript,1.8057751528806132,conan
conan18,antlr4-cppruntime,1.8057751528806132,conan
conan19,any-lite,1.8057751528806132,conan
conan20,approvaltests.cpp,1.8057751528806132,conan
conan21,apr,2.0493812924173174,conan
conan22,apriltag,1.8057751528806132,conan
conan23,apr-util,2.004534746570038,conan
conan24,aravis,1.8057751528806132,conan
conan25,arcus,1.8057751528806132,conan
conan26,arduinojson,1.8057751528806132,conan
conan27,argh,1.8057751528806132,conan
conan28,argon2,1.8057751528806132,conan
conan29,argparse,1.8057751528806132,conan
conan30,args-parser,2.110303164342459,conan
conan31,argtable2,1.8057751528806132,conan
conan32,argtable3,1.8057751528806132,conan
conan33,armadillo,1.8057751528806132,conan
conan34,arrow,1.8057751528806132,conan
conan35,artery-font-format,1.9802898291936781,conan
conan36,aruco,1.8057751528806132,conan
conan37,asio,2.1485573510608504,conan
conan38,asmjit,2.110303164342459,conan
conan39,assimp,1.8614475843961165,conan
conan40,astc-codec,1.8057751528806132,conan
conan41,astro-informatics-so3,2.110303164342459,conan
conan42,asyncplusplus,1.8057751528806132,conan
conan43,atk,1.9803074987047347,conan
conan44,at-spi2-atk,1.8844820120497512,conan
conan45,at-spi2-core,1.9149382359738172,conan
conan46,audiofile,1.8057751528806132,conan
conan47,autoconf,2.309996983794621,conan
conan48,autoconf-archive,1.8057751528806132,conan
conan49,automake,2.1803317154935438,conan
conan50,avahi,1.8057751528806132,conan
conan51,avcpp,1.8057751528806132,conan
conan52,avir,1.8057751528806132,conan
conan53,aws-c-auth,1.938718459344762,conan
conan54,aws-c-cal,2.234381562014288,conan
conan55,aws-c-common,2.6993274379858665,conan
conan56,aws-c-compression,2.019230821972777,conan
conan57,aws-cdi-sdk,1.8057751528806132,conan
conan58,aws-c-event-stream,1.917056607398562,conan
conan59,aws-checksums,2.0585588266080577,conan
conan60,aws-c-http,2.125184130350341,conan
conan61,aws-c-io,2.308095689970053,conan
conan62,aws-c-mqtt,1.8610775011975214,conan
conan63,aws-crt-cpp,1.8671760285869203,conan
conan64,aws-c-s3,1.8610775011975214,conan
conan65,aws-c-sdkutils,1.9041393278880854,conan
conan66,aws-kvs-pic,1.8057751528806132,conan
conan67,aws-libfabric,1.9802898291936781,conan
conan68,aws-sdk-cpp,1.9802898291936781,conan
conan69,azure-storage-cpp,1.8057751528806132,conan
conan70,b2,1.8057751528806132,conan
conan71,backport-cpp,1.8057751528806132,conan
conan72,backward-cpp,1.8057751528806132,conan
conan73,bacnet-stack,1.8057751528806132,conan
conan74,baical-p7,1.8057751528806132,conan
conan75,base64,1.8057751528806132,conan
conan76,bazel,1.8057751528806132,conan
conan77,bdwgc,1.8057751528806132,conan
conan78,behaviortree.cpp,1.8057751528806132,conan
conan79,benchmark,1.8057751528806132,conan
conan80,bertrand,1.8057751528806132,conan
conan81,bigint,1.8057751528806132,conan
conan82,binutils,1.8057751528806132,conan
conan83,bison,1.8057751528806132,conan
conan84,bit-lite,1.8057751528806132,conan
conan85,bitmagic,1.8057751528806132,conan
conan86,bitserializer,1.8057751528806132,conan
conan87,bitsery,1.8057751528806132,conan
conan88,blaze,1.8057751528806132,conan
conan89,blend2d,1.8057751528806132,conan
conan90,bliss,1.8057751528806132,conan
conan91,boolean-lite,1.8057751528806132,conan
conan92,boolinq,1.8057751528806132,conan
conan93,boost,2.894646455538965,conan
conan94,boostdep,1.8057751528806132,conan
conan95,boost-ext-ut,1.8057751528806132,conan
conan96,botan,1.8057751528806132,conan
conan97,box2d,1.8057751528806132,conan
conan98,breakpad,1.8057751528806132,conan
conan99,brigand,1.8057751528806132,conan
conan100,brotli,2.2984294748192458,conan
conan101,brynet,1.8057751528806132,conan
conan102,btyacc,1.8057751528806132,conan
conan103,bullet3,1.882289772118473,conan
conan104,butteraugli,1.8057751528806132,conan
conan105,bvdberg-ctest,1.8057751528806132,conan
conan106,bx,1.8057751528806132,conan
conan107,byte-lite,1.8057751528806132,conan
conan108,bzip2,2.829699359581043,conan
conan109,c4core,2.1973294370515846,conan
conan110,caf,1.8057751528806132,conan
conan111,cairo,1.9670280543457677,conan
conan112,cajun-jsonapi,1.8057751528806132,conan
conan113,calceph,1.8057751528806132,conan
conan114,capnproto,1.8057751528806132,conan
conan115,capstone,1.8057751528806132,conan
conan116,c-ares,1.8893282162602134,conan
conan117,cargs,1.8057751528806132,conan
conan118,cassandra-cpp-driver,1.8269082706191009,conan
conan119,catch2,1.9802898291936781,conan
conan120,c-blosc,1.882289772118473,conan
conan121,cc65,1.8057751528806132,conan
conan122,ccache,1.8057751528806132,conan
conan123,cccl,1.8057751528806132,conan
conan124,ccfits,1.8057751528806132,conan
conan125,c-client,1.8057751528806132,conan
conan126,cctag,1.8057751528806132,conan
conan127,cctz,1.8057751528806132,conan
conan128,c-dbg-macro,1.8057751528806132,conan
conan129,celero,1.8057751528806132,conan
conan130,cereal,2.036603141174895,conan
conan131,ceres-solver,1.8057751528806132,conan
